YFL021W	YDR520C	YCR096C	YML113W	YJL110C	YCR040W	YKR034W	YPR199C	YER040W	YDL170W	YCR039C	YGL001C	YER190W	YDR084C	YER189W	YIR029W	YDL210W	YCR041W	YMR193W	YHR091C	YNL338W	YDR544C	YDR545W	YNL339C	YCR018CA	YCR019W	YNL337W	YER002W	YGR019W	YEL063C	YKR039W	YBL109W	YBL112C	YHR156C	YHR157W	YBL113C	YLR023C	YDR041W	YBL111C	YLR467W	YLR465C	YLR463C	YDR040C	YDR543C	YDR210WD	YCR105W	YNR068C	YBL018C	YNL143C	YHR037W	YBR006W	YIR005W	YDR210W	YIR032C	YNL142W	YBR208C	YMR257C	YHR029C	YOR348C	YOR375C	YBR102C	YIR028W	YBR166C	YBR103W	YLR082C	YLR142W	YHL016C	YKL178C	YMR098C	YIR031C	YJR110W	YJR109C	YMR087W	YMR086CA	YKR093W	YDR067C	YDR068W	YJL088W	YDR522C	YDR317W	YGR072W	YGR071C	YDR473C	YLR047C	YLR048W	YOL159C	YGR296W	YNL241C	YLL065W	YJR044C	YJR011C	YMR258C	YLR439W	YLL048C	YKL049C	YDR319C	YOR102W	YLR054C	YAL025C	YOL042W
0.7471043	0.5248772	0.2035909	0.5970533	0.4444810	0.8393966	0.4957531	0.0224938	0.7722084	0.4674942	0.1814760	0.3302337	0.5882247	0.0951819	0.0126355	0.4994050	0.1317367	0.3747104	0.3025554	0.0001024	0.0877488	0.0006802	0.1595459	0.3976315	0.5924417	0.5645842	0.5655392	0.1425569	0.7231015	0.5520569	0.0010572	0.1408076	0.0922182	0.1384511	0.3047029	0.4972023	0.6587695	0.7055174	0.1667699	0.5566375	0.8317450	0.3562250	0.5403280	0.5124235	0.3797733	0.4322780	0.3689460	0.3544386	0.0003795	0.7241983	0.4818996	0.2770678	0.1045153	0.3010993	0.2294406	0.3134687	0.7135516	0.2431193	0.5244960	0.3242670	0.3826947	0.1100834	0.6200450	0.1604850	0.1324504	0.6871620	0.5596321	0.0015022	0.6701652	0.6338438	0.1986082	0.4732252	0.5112441	0.0007078	0.0320311	0.6005640	0.0004451	0.0006003	0.0422299	0.6703622	0.1556122	0.4627896	0.3400052	0.2056563	0.5487047	0.6011630	0.0000943	0.6310145	0.3471130	0.0618329	0.0002056	0.0689221	0.0274652	0.0181976	0.6246807	0.5960558	0.5779212	0.6107262	0.0987465	0.4060778
0.8182778	0.5751907	0.5702808	0.3955248	0.3116989	0.7135318	0.4625962	0.7452623	0.6999423	0.3613358	0.4893738	0.2565905	0.5381040	0.2782700	0.2723651	0.4443612	0.5539961	0.0595118	0.4565308	0.0378151	0.2345383	0.0609853	0.2468956	0.5859082	0.6783962	0.1327273	0.5753485	0.4211880	0.5541912	0.5799314	0.0008219	0.0057470	0.2093844	0.4206883	0.2648059	0.5023802	0.4700841	0.4547136	0.0398707	0.5974304	0.7585234	0.7146740	0.4969082	0.3208679	0.7120533	0.4572536	0.5115206	0.1769335	0.1386106	0.6383796	0.0408769	0.2270992	0.1006924	0.4105019	0.1291773	0.4102733	0.4776402	0.7001407	0.0897734	0.2590479	0.0019704	0.2653171	0.2015211	0.2426073	0.6510040	0.6108947	0.0278415	0.5919906	0.1158189	0.4681245	0.1037272	0.6789094	0.8080982	0.5038710	0.0369880	0.6789966	0.0403724	0.0000000	0.0605469	0.4769038	0.6360516	0.5312522	0.5739938	0.3878142	0.4609869	0.6435738	0.0248416	0.2079411	0.1573571	0.3096294	0.0000000	0.0000000	0.3301349	0.1082880	0.2095909	0.5698879	0.6953413	0.4583684	0.4380667	0.5090314
0.8350282	0.4043346	0.0406167	0.1536616	0.3895292	0.5389933	0.6650498	0.6478657	0.4415549	0.0603836	0.3799876	0.6531582	0.6611323	0.5525714	0.1464189	0.4232441	0.4228266	0.1262775	0.2030321	0.3677988	0.5081205	0.2128103	0.0283558	0.6799879	0.6283443	0.7178362	0.1396162	0.2600627	0.7767751	0.6097534	0.2541949	0.1995182	0.2480417	0.4026153	0.3394654	0.5732423	0.6259263	0.7669609	0.0003827	0.2389587	0.4243565	0.0002678	0.0582435	0.2758627	0.6844965	0.5597170	0.3294296	0.5464022	0.0000000	0.5105755	0.2292108	0.3476970	0.0868815	0.5016214	0.7145959	0.3651903	0.4933445	0.5451914	0.1061490	0.0447757	0.2392443	0.2442017	0.7481353	0.1226156	0.3908622	0.0000000	0.2725694	0.1888663	0.5107267	0.3700937	0.2426694	0.4492536	0.5943125	0.3369368	0.0297971	0.7996875	0.0484384	0.1253258	0.1155104	0.1838731	0.6112354	0.1856648	0.3309147	0.1578078	0.4741145	0.4922317	0.0269607	0.3504565	0.0007118	0.7373593	0.0168432	0.2534782	0.5565389	0.0603313	0.1431217	0.6578383	0.6078095	0.5395574	0.0991139	0.0607328
0.2847282	0.3966602	0.7070629	0.6829838	0.2479085	0.3453481	0.4622035	0.7238755	0.0000000	0.6025445	0.4795654	0.2017934	0.7367306	0.1182236	0.0678160	0.3972535	0.0733094	0.1896318	0.6662967	0.4854529	0.1039075	0.0995052	0.1159779	0.1319295	0.0632535	0.0000000	0.4775158	0.4936891	0.1611739	0.2397051	0.6083955	0.0994285	0.1288368	0.2755065	0.0000000	0.5209296	0.4119712	0.0000000	0.4656052	0.5789852	0.7223963	0.0359563	0.1593289	0.3490809	0.6416671	0.1770250	0.2753731	0.2020153	0.5713193	0.0000000	0.5363514	0.6310527	0.8242962	0.1906795	0.5779945	0.5613561	0.4051562	0.6987605	0.2588185	0.6528220	0.3970068	0.5731282	0.2596147	0.5135308	0.7702334	0.0349029	0.0000000	0.1221963	0.2296094	0.0007388	0.1167367	0.1109006	0.6725831	0.2336564	0.6752304	0.6652955	0.0239854	0.2162014	0.0301213	0.1889048	0.7146461	0.6771021	0.3944313	0.2225692	0.0000000	0.6059935	0.0079354	0.6142485	0.5569820	0.6978870	0.1105300	0.0086231	0.1323591	0.1623516	0.5416920	0.3032008	0.6791803	0.4656972	0.2997604	0.2431670
0.6475479	0.3339035	0.0083425	0.0000000	0.1551022	0.0469116	0.2421714	0.7084590	0.6343247	0.0231553	0.3994944	0.5267228	0.7442365	0.6682719	0.3501688	0.6502252	0.3062995	0.3914137	0.0221478	0.2168085	0.5162074	0.3940609	0.0271489	0.5624445	0.7628636	0.1143874	0.0906035	0.0000000	0.4936347	0.3560633	0.1734187	0.6312894	0.5547084	0.6201714	0.7885817	0.1337568	0.7184625	0.4492313	0.0301195	0.5211701	0.0942793	0.1606605	0.0268507	0.6128899	0.2833266	0.1524739	0.5816521	0.0110755	0.0000000	0.5697124	0.0024430	0.2181278	0.1380630	0.6127431	0.5475156	0.5277659	0.6901227	0.2565049	0.2924396	0.0160715	0.6543700	0.7998854	0.2607992	0.0306518	0.6133644	0.4219857	0.4551803	0.0000297	0.3232845	0.4795081	0.0022767	0.6724002	0.5235339	0.3970040	0.0454848	0.6138967	0.0201064	0.0000103	0.0229718	0.0000000	0.5948135	0.0000000	0.3104047	0.2373845	0.1824322	0.1011653	0.7065500	0.0005027	0.0000631	0.6647572	0.0365288	0.0632954	0.0163344	0.6238321	0.5520733	0.6492860	0.6810404	0.3892607	0.5502193	0.5952353
0.0000000	0.6951215	0.6165193	0.8372923	0.1465073	0.6531640	0.4452780	0.7922691	0.0000000	0.7204610	0.5929748	0.7092853	0.2678169	0.0268196	0.0993684	0.2632530	0.0374082	0.5650420	0.0000000	0.2958096	0.3921745	0.0565269	0.0567410	0.3313780	0.2227234	0.8450674	0.7173396	0.4260173	0.4267069	0.0000000	0.6130630	0.1527859	0.1047865	0.3694321	0.7704882	0.4730897	0.0136272	0.0000000	0.3393710	0.2830569	0.6681926	0.0199345	0.2925403	0.2582092	0.4232065	0.2649871	0.7464435	0.4694474	0.0000000	0.0000000	0.5611291	0.4062751	0.7605112	0.0000000	0.6448612	0.6210888	0.4693658	0.0000000	0.5307972	0.6395296	0.5644143	0.7570147	0.6322602	0.1916445	0.4992930	0.0000000	0.0244918	0.1145607	0.2880908	0.0000000	0.4059730	0.5635151	0.7067516	0.3530345	0.4219039	0.5924748	0.1680725	0.6192858	0.6395138	0.0032626	0.0000000	0.0000000	0.3618452	0.0000000	0.1514369	0.7600365	0.0092208	0.3019369	0.4460980	0.3339109	0.0000000	0.0119893	0.7487842	0.6006182	0.0000000	0.0000000	0.0000000	0.0324722	0.4530610	0.4173731
0.6751723	0.5412872	0.6834621	0.6239198	0.2270482	0.3764597	0.5008388	0.6458030	0.5527575	0.1732792	0.6530465	0.5495502	0.3500130	0.6186969	0.0079013	0.6297076	0.0990445	0.1928810	0.3845899	0.0002945	0.1547453	0.0222674	0.3872072	0.3966842	0.6593747	0.1537203	0.5594447	0.2491687	0.8006513	0.1682466	0.4496472	0.0236408	0.0000000	0.0000000	0.7932496	0.1601820	0.1985743	0.2298290	0.0185301	0.3608768	0.7628055	0.0237176	0.5144412	0.5931347	0.7224051	0.4170244	0.2130644	0.4788161	0.0929588	0.5603286	0.1100175	0.0641916	0.0992939	0.5302537	0.3655198	0.4023319	0.4997137	0.6392439	0.3650585	0.3407936	0.0002230	0.2574968	0.4984867	0.0066206	0.2279308	0.0732637	0.4730158	0.4289769	0.5934312	0.6195445	0.2749058	0.4708893	0.5926614	0.4704714	0.0783835	0.6445174	0.0852586	0.0490869	0.0206822	0.3553182	0.7190405	0.3896613	0.1711178	0.1861204	0.2956394	0.2752486	0.0003449	0.5269103	0.6575567	0.6718869	0.0088084	0.2151308	0.1361129	0.2276674	0.4628375	0.7419514	0.5549020	0.4238085	0.5543730	0.0000000
0.5503971	0.6969472	0.8154905	0.7842873	0.5029502	0.3650598	0.6890298	0.0000000	0.5989800	0.3724511	0.7238939	0.0633175	0.4468673	0.4675670	0.0125546	0.4721889	0.0992351	0.0152387	0.3522824	0.1946679	0.4145775	0.0000000	0.5059715	0.2434531	0.6589727	0.4034654	0.3534912	0.2768570	0.5873063	0.2404165	0.3155703	0.0001330	0.3521060	0.4301975	0.6626297	0.7400438	0.1275364	0.1194201	0.0834581	0.4180460	0.5863201	0.2610825	0.0533234	0.3927180	0.6682122	0.5277039	0.4099742	0.1044590	0.0807258	0.5951868	0.0364842	0.2541473	0.0892490	0.4301166	0.0000000	0.6553397	0.2118090	0.1331695	0.3759360	0.1914045	0.0180966	0.1491494	0.5791096	0.4435555	0.0533628	0.5425624	0.4627048	0.3754095	0.5844998	0.6309322	0.1974769	0.5145737	0.2989799	0.0981060	0.0647678	0.6647233	0.0322348	0.0155481	0.0003564	0.8308305	0.1134849	0.4859065	0.6371761	0.3245103	0.6022998	0.6109931	0.0000034	0.6851336	0.7307875	0.2553432	0.0009154	0.1557695	0.3126474	0.1007490	0.2890119	0.6091397	0.7413568	0.6274845	0.1214639	0.1029201
0.5766679	0.5581681	0.4945534	0.7702337	0.1499187	0.6313635	0.0656019	0.7541129	0.3224607	0.5798766	0.4490311	0.0508106	0.6705223	0.1477876	0.4355924	0.5157956	0.1913792	0.0099533	0.4324238	0.2545392	0.2841389	0.0004842	0.0009086	0.4492216	0.2828984	0.0445102	0.6068586	0.0000000	0.4222924	0.5366095	0.0762557	0.0086747	0.0233695	0.0000000	0.4943289	0.0011842	0.6266456	0.3095308	0.3768814	0.1809564	0.6367172	0.0360328	0.5805377	0.6862638	0.6491164	0.5064724	0.5518321	0.2394225	0.0616667	0.1936273	0.2027422	0.5444355	0.1569840	0.0014260	0.7058421	0.3700484	0.5845609	0.5716153	0.2513891	0.3919460	0.2473575	0.1885921	0.5839580	0.0856626	0.2630054	0.3943532	0.4632044	0.0384415	0.6095953	0.1143721	0.0000869	0.6166657	0.6290344	0.0176931	0.0095506	0.4800707	0.0401941	0.1266825	0.1471558	0.4038910	0.7497772	0.6940660	0.1447447	0.3278942	0.5659543	0.2546029	0.0000000	0.3074602	0.3926159	0.1684556	0.0141511	0.0926118	0.3266770	0.5967372	0.0000000	0.6519344	0.5840742	0.3525507	0.6759704	0.7166436
0.5977771	0.6124361	0.3608454	0.7161420	0.2468813	0.2695292	0.0490607	0.0000000	0.2541675	0.4488323	0.0895396	0.2997854	0.5838324	0.5439215	0.3856925	0.6569822	0.3202209	0.1140415	0.4582959	0.5136588	0.0041119	0.0381907	0.0006828	0.1615540	0.5107390	0.2085937	0.0141241	0.0634228	0.2462190	0.4734631	0.0702142	0.2352860	0.2330121	0.4414436	0.0000000	0.6780298	0.1761868	0.3018235	0.3171698	0.4990807	0.6332133	0.0219665	0.5445178	0.0000000	0.2843145	0.3633424	0.3034811	0.3492186	0.0055199	0.1319859	0.8117379	0.5429471	0.0417387	0.5722722	0.4663831	0.0692454	0.0019051	0.6465973	0.6515314	0.5117096	0.1361047	0.5032574	0.6687759	0.6608387	0.7030127	0.4838255	0.3688132	0.0154570	0.4327586	0.0959983	0.2073815	0.4094078	0.0619515	0.6490105	0.0578617	0.5658799	0.1094040	0.1302788	0.2219623	0.3790648	0.6673701	0.4056050	0.1603003	0.0696994	0.5461368	0.3625035	0.0250416	0.2576181	0.2872258	0.4081583	0.0158996	0.0408772	0.0003050	0.2587958	0.3971730	0.4997384	0.5647169	0.3877392	0.6659279	0.6423133
0.6516410	0.5031524	0.5826796	0.8051472	0.4671197	0.4278297	0.5287674	0.6485467	0.6518092	0.3529355	0.4513530	0.0691270	0.1339945	0.4254843	0.1474081	0.7013218	0.0727754	0.0767288	0.6640631	0.0000530	0.0877504	0.0459556	0.4254113	0.2097319	0.4412207	0.1926790	0.6552808	0.0511650	0.5881626	0.1520512	0.0001098	0.1247786	0.2754677	0.2959621	0.1036663	0.6740889	0.0477096	0.2008012	0.1264244	0.6683680	0.6373642	0.4167077	0.4905364	0.0000000	0.6393370	0.1536898	0.6551490	0.5386837	0.0911544	0.5868460	0.5880499	0.3896914	0.0023444	0.3920213	0.7321317	0.2186721	0.7925509	0.2063879	0.0823880	0.2213112	0.1480521	0.2313927	0.5566310	0.0219895	0.7361479	0.6230082	0.0276064	0.6918340	0.1147700	0.5406258	0.0002408	0.4886459	0.5698355	0.3459926	0.0881400	0.7485096	0.0016270	0.0066490	0.0010791	0.4782179	0.5046517	0.5576070	0.6745622	0.6332842	0.1574673	0.0984154	0.0027383	0.5015290	0.5957729	0.1794383	0.0062997	0.1097003	0.0206090	0.1083132	0.0000000	0.5634909	0.6750843	0.5371931	0.2672534	0.4210112
