YMR164C	YBR083W	YLR403W	YDR463W	YDR081C	YCR096C	YCR040W	YPR199C	YJL110C	YCR097W	YDR317W	YCR039C	YCR107W	YKL178C	YBR281C	YBR282W	YKL161C	YLR022C	YDR098CA	YDR103W	YDR098CB	YBR040W	YCR041W	YLL065W	YLR463C	YLR467W	YLR465C	YCR105W	YOR315W	YER190W	YGL001C	YDR042C	YCR018CA	YCR019W	YDR084C	YER189W	YNL337W	YDR494W	YLR265C	YLL047W	YPR021C	YBR186W	YLL048C	YNL105W	YBR121C	YBR185C	YKL136W	YPL178W	YDR440W	YBL070C	YBL068W	YKR008W	YGL247W	YCR083W	YDR180W	YGR191W	YDL062W	YLR175W	YLR322W	YGL169W	YGL170C	YOR082C	YML048WA	YGR039W	YDR047W	YBR184W	YLR094C	YDL152W	YDR415C	YLR046C	YKL095W	YOL057W	YCL012W	YNL267W	YDL126C	YOR129C	YBR012WA	YMR232W	YOR084W	YPL060CA	YGL192W	YGL156W	YLR185W	YKR004C	YCL014W	YKR041W	YER137CA	YIL038C	YBR012WB	YBL018C	YAR010C	YNL256W	YDR416W	YKR056W	YNL211C	YNL257C	YOR077W	YER120W	YBL017C	YER118C
0.1156410	0.6207391	0.2833083	0.4723673	0.6674002	0.0001096	0.4207562	0.3492653	0.5317726	0.7431609	0.4603482	0.0006119	0.1070545	0.1821090	0.0000000	0.4168991	0.6293481	0.4013706	0.1993517	0.6273730	0.2317258	0.0165005	0.2803713	0.5360359	0.2131249	0.0941904	0.5994866	0.6806552	0.0097302	0.2859670	0.1355276	0.2537690	0.0171822	0.0156615	0.2793714	0.2849799	0.1868404	0.2766833	0.0255564	0.0229515	0.0000000	0.7018082	0.1206748	0.2091565	0.0326795	0.0754589	0.6572641	0.5683414	0.2008618	0.6146248	0.0606622	0.5076842	0.2903463	0.4374351	0.0164719	0.2127327	0.2511887	0.6336867	0.4772182	0.0875179	0.2343034	0.2846755	0.2203694	0.2933622	0.0599680	0.6256895	0.1555253	0.0275402	0.1816928	0.6071198	0.5295993	0.4791503	0.4272650	0.3876023	0.5070336	0.0960744	0.7060140	0.5408518	0.6407033	0.0036120	0.3959784	0.6495699	0.0000000	0.3112948	0.5075359	0.3926530	0.5984431	0.1297731	0.2053293	0.0829901	0.0502989	0.5794400	0.1988112	0.0805622	0.6639910	0.6456670	0.4535486	0.5484989	0.0115096	0.7311570
0.4643785	0.0000000	0.0000000	0.0473800	0.6670129	0.0000488	0.4186925	0.1292304	0.6643588	0.3580708	0.3047462	0.0001117	0.2415404	0.1302655	0.0023342	0.0599648	0.3759517	0.3363966	0.0000000	0.0265338	0.7110734	0.3094084	0.0449004	0.2997226	0.1213225	0.5048857	0.5206359	0.1301929	0.5322660	0.4178123	0.0074214	0.6405741	0.6873858	0.1834614	0.7419875	0.6937753	0.7414961	0.3524601	0.0000000	0.0205620	0.6292737	0.5907030	0.1132818	0.1824120	0.5995218	0.6079401	0.6865376	0.2210172	0.0000000	0.0000000	0.5699862	0.0294562	0.6969299	0.1436338	0.7230925	0.6107109	0.4293550	0.4150339	0.6212410	0.2033246	0.2705134	0.0716615	0.1435045	0.0000000	0.6676985	0.6322296	0.0149230	0.0672770	0.2158115	0.5980099	0.0000000	0.6217724	0.6776327	0.0036224	0.0000000	0.6778516	0.6032141	0.5643307	0.0000000	0.1767613	0.5467326	0.5594803	0.3046647	0.4165534	0.5888849	0.5640755	0.7451610	0.1158975	0.0000000	0.3401336	0.1315359	0.0000000	0.2756763	0.0758919	0.0000000	0.1738551	0.5546278	0.4841300	0.5544232	0.0000000
0.5034702	0.7041158	0.4717256	0.6872886	0.7848347	0.3867426	0.0745374	0.6991204	0.6484160	0.0039759	0.5945079	0.0006045	0.0291704	0.4950068	0.5806377	0.7096585	0.0000000	0.4755104	0.4291157	0.3726522	0.0093982	0.4270037	0.1453801	0.6768427	0.0010719	0.0150378	0.6523224	0.0234283	0.3585791	0.2749224	0.4460964	0.6729002	0.0488423	0.2179296	0.3635726	0.1984994	0.4080866	0.6578176	0.0000000	0.0091502	0.0136740	0.5858434	0.0752719	0.5880384	0.2123463	0.0845302	0.6791766	0.7509816	0.3122799	0.6707108	0.3268513	0.0147069	0.7142009	0.6932508	0.0012348	0.0486441	0.5876260	0.0000000	0.5223894	0.5588221	0.3289142	0.0155714	0.3599540	0.5528246	0.0711156	0.6265868	0.3003295	0.0397721	0.2949899	0.7121368	0.7026593	0.0340276	0.3814218	0.6456635	0.6290692	0.1846095	0.5795455	0.3408660	0.0067381	0.0004268	0.4414054	0.6365363	0.0000000	0.6165934	0.2623092	0.3527962	0.7475167	0.1973493	0.6217690	0.4923772	0.0000000	0.2228346	0.2451090	0.2846965	0.4479265	0.1983592	0.2107001	0.3573261	0.0000000	0.7090913
0.6957394	0.7492808	0.4341750	0.4930437	0.6361267	0.3779990	0.3036798	0.6782462	0.5836985	0.7442862	0.5198896	0.0095888	0.0092696	0.2748709	0.0697306	0.7349376	0.1201841	0.4328134	0.6760137	0.5047610	0.0000000	0.0006487	0.0000000	0.5571062	0.0181594	0.0396936	0.7459106	0.2624741	0.5752005	0.1752875	0.1338730	0.7152978	0.0053411	0.6054211	0.3159415	0.5004815	0.0876171	0.5418282	0.0105333	0.0379869	0.0470112	0.6187407	0.1151452	0.4747064	0.0032799	0.0000000	0.6001476	0.7254686	0.5070242	0.6850714	0.2827924	0.0293324	0.6779971	0.2914271	0.0012849	0.0502086	0.5693854	0.2747349	0.5518995	0.1545600	0.1208052	0.0166920	0.4248406	0.6197137	0.0599003	0.6761926	0.2651545	0.0000674	0.1024141	0.6684093	0.7202653	0.2860934	0.2892632	0.4620642	0.4799844	0.1876163	0.5751065	0.0495034	0.0070280	0.0000000	0.4012470	0.5592402	0.3767065	0.3485385	0.2314372	0.2687851	0.6956061	0.1395282	0.7711033	0.5588231	0.0303337	0.2066285	0.1383755	0.0909768	0.2598801	0.1279973	0.2039136	0.1255392	0.0263266	0.5488990
0.4261326	0.7635369	0.5809253	0.6501074	0.6736654	0.5194124	0.0766988	0.3589936	0.6738269	0.3048339	0.5440903	0.0270329	0.0143403	0.1314555	0.6052820	0.4789347	0.2123997	0.3232129	0.4164473	0.3472593	0.0181190	0.3810487	0.0026945	0.6552338	0.0614347	0.0810354	0.2898175	0.4998004	0.1490956	0.2548392	0.2828722	0.5294739	0.4581567	0.6415853	0.5661213	0.1721999	0.2650677	0.6873045	0.0000000	0.0111646	0.0010587	0.6024462	0.1132189	0.1919163	0.1629750	0.1085791	0.6412590	0.7413059	0.3363342	0.7322517	0.5355081	0.0093026	0.6041800	0.6233258	0.0033581	0.0482410	0.6233783	0.2977282	0.6302003	0.5457814	0.4355352	0.0397246	0.2923206	0.6008969	0.0863066	0.6524690	0.2293402	0.0000000	0.3150555	0.5870267	0.6355782	0.3616435	0.3957447	0.5241109	0.6712202	0.1655605	0.7209204	0.0000000	0.0036458	0.0458382	0.2864695	0.5956596	0.1825151	0.3572155	0.3579957	0.3245132	0.7304976	0.0811803	0.9214345	0.6496048	0.0669128	0.1840099	0.1021643	0.2480406	0.4056524	0.1764115	0.2169370	0.2626858	0.0439576	0.8951141
0.4871452	0.6712275	0.5345125	0.4437363	0.6059528	0.3630514	0.0706122	0.5199814	0.5959689	0.0000000	0.4406361	0.0016969	0.0215609	0.3422989	0.6433739	0.3320173	0.6485799	0.5871633	0.3215020	0.3833705	0.1240591	0.2071705	0.2660381	0.5799249	0.0326109	0.0292825	0.3389724	0.6155705	0.1858135	0.0000000	0.1467030	0.5507881	0.1529135	0.0409798	0.3537553	0.1799043	0.1735330	0.5515512	0.0179380	0.0193863	0.0002834	0.7828831	0.0810303	0.0000000	0.2169693	0.0876356	0.5405899	0.4696149	0.6378115	0.5909863	0.5400044	0.0025426	0.6448080	0.6452890	0.0030981	0.0311880	0.5992531	0.4007356	0.5523389	0.2811538	0.0002891	0.0533155	0.4483247	0.5291718	0.1053574	0.6899752	0.2156481	0.0000362	0.1935897	0.7358520	0.6033882	0.2754982	0.5036895	0.5328347	0.5587050	0.0000000	0.5211693	0.0000000	0.0183435	0.0439222	0.1475270	0.7397125	0.2634958	0.3430751	0.4155769	0.3197735	0.6448887	0.0000000	0.6939886	0.6516175	0.0099806	0.2977308	0.2266986	0.1505977	0.4135294	0.2065715	0.2312425	0.2989787	0.0014025	0.6961470
0.4798916	0.5651073	0.6045202	0.6684886	0.5031262	0.4804960	0.6010976	0.5753876	0.0000000	0.6571599	0.5634362	0.0434426	0.1301725	0.0263140	0.5379830	0.3531566	0.4489298	0.6719703	0.4108661	0.6193052	0.0973326	0.0017835	0.3327975	0.5944561	0.6864095	0.2412620	0.6817300	0.0190042	0.2184754	0.1999679	0.5041622	0.3971639	0.0000000	0.5684361	0.4073937	0.7123797	0.0000000	0.6599048	0.7596344	0.6191478	0.0452755	0.6345631	0.5953228	0.0946426	0.2310759	0.0001451	0.0000000	0.6845390	0.5374666	0.5633023	0.2613726	0.0083304	0.6892030	0.3795263	0.0000000	0.0195167	0.6614756	0.3800714	0.4360801	0.1047387	0.4857020	0.0337943	0.3155297	0.5898306	0.0778650	0.6484800	0.3369856	0.0240262	0.2702936	0.5830548	0.5280608	0.2638058	0.2762821	0.5704020	0.6547365	0.2043861	0.5643203	0.0707197	0.0222379	0.0000000	0.4447186	0.6890813	0.0429679	0.5793948	0.0290809	0.2041484	0.6401038	0.2593414	0.5504873	0.4781187	0.0372455	0.1297573	0.4283551	0.0000000	0.3240054	0.1202125	0.2190300	0.1963833	0.0458665	0.6212208
0.5241511	0.7141186	0.5745793	0.6676065	0.0000000	0.0028991	0.5375419	0.4708142	0.6298351	0.6947130	0.1155665	0.0034681	0.0386846	0.2775901	0.6872226	0.5730379	0.0000000	0.0000000	0.6030821	0.5133518	0.0024228	0.3893682	0.0008468	0.7475794	0.0543371	0.0756871	0.6138823	0.0181304	0.0955205	0.2991849	0.3698734	0.2324740	0.0023838	0.0201834	0.5317529	0.2111912	0.0838426	0.6164674	0.0267411	0.0031681	0.0150626	0.5708970	0.1707046	0.2093426	0.0000000	0.0012100	0.6676689	0.7733943	0.6831617	0.6306983	0.5996454	0.0148414	0.6957644	0.3465320	0.0080010	0.0084374	0.5599582	0.2900137	0.0000000	0.2153345	0.4500897	0.0062153	0.6955349	0.6132088	0.0998429	0.6337002	0.5553075	0.0184815	0.1976514	0.3356972	0.6343693	0.2989841	0.1759579	0.6889671	0.5670211	0.2445648	0.4738049	0.1334054	0.0380863	0.0539019	0.3938134	0.4928588	0.2790128	0.4571262	0.1972688	0.0000000	0.5773535	0.1811940	0.7550889	0.4175240	0.0472588	0.2376101	0.2143674	0.0000000	0.4455136	0.1170537	0.1617902	0.1911692	0.0464471	0.6248782
0.6224888	0.6021136	0.5686849	0.4871596	0.3401657	0.0154670	0.0000424	0.7027340	0.6637092	0.5660326	0.6837999	0.3917219	0.0187187	0.0001108	0.3082617	0.3478036	0.0000000	0.3544035	0.3125690	0.5023513	0.1022195	0.1154657	0.1576238	0.6464775	0.0764155	0.1194343	0.5421948	0.0099419	0.3948999	0.3041892	0.2158476	0.6750196	0.0079147	0.2052239	0.2727442	0.3900755	0.2054333	0.2015232	0.0197496	0.0016057	0.0112557	0.7086591	0.3045375	0.5743321	0.1466670	0.0637407	0.7093181	0.5347627	0.4032745	0.6360226	0.4126319	0.0081473	0.6562541	0.7506426	0.0021246	0.0182940	0.5372866	0.2425110	0.6988487	0.6629161	0.1748037	0.0789067	0.6152902	0.6447382	0.1703992	0.6565175	0.5129973	0.0360518	0.1356346	0.4768027	0.8171507	0.4334107	0.2356421	0.5308974	0.6033379	0.0889958	0.4931113	0.2500923	0.0154041	0.0000000	0.3837632	0.6152406	0.0587005	0.1552344	0.0403733	0.1997574	0.5411454	0.3363711	0.6420259	0.7006342	0.0149084	0.1015160	0.0063947	0.3305573	0.5346707	0.1531584	0.0242203	0.3033964	0.0052561	0.5708714
0.2405893	0.5683770	0.3508048	0.5287118	0.3913760	0.6489456	0.1752512	0.0000000	0.0000000	0.5519570	0.0000000	0.4808672	0.3769665	0.0755336	0.3346221	0.1973974	0.0000000	0.3520785	0.5882263	0.5433363	0.2172156	0.3929698	0.3525208	0.6236999	0.4241300	0.0340441	0.7905707	0.0000000	0.3185622	0.0118939	0.2235590	0.6459685	0.0000000	0.5385027	0.1932984	0.6392389	0.2936361	0.4913753	0.6473012	0.5994619	0.0309519	0.6158111	0.1596813	0.4237433	0.3635641	0.0661328	0.0000000	0.6029272	0.1828619	0.6756192	0.2175452	0.0597448	0.6639995	0.4315441	0.0087701	0.0957144	0.5193270	0.5320069	0.4612436	0.2890538	0.4314672	0.1091658	0.6505747	0.5507713	0.1045973	0.6645466	0.1868030	0.0036531	0.7227755	0.6595918	0.6844241	0.3318579	0.0000000	0.4609621	0.5401925	0.2984752	0.5346047	0.3523514	0.0664473	0.0449396	0.2555396	0.0407299	0.2706408	0.4255376	0.4480577	0.0000000	0.7005562	0.2582348	0.4173903	0.4175613	0.0771866	0.5030835	0.3565973	0.6365296	0.1901188	0.0000000	0.4261415	0.3931808	0.0062254	0.5908977
0.5699933	0.5953254	0.6211466	0.4858814	0.6275690	0.0001015	0.0369011	0.6538936	0.5632356	0.7223731	0.6023947	0.0145234	0.0096584	0.0538601	0.6570334	0.6706304	0.6141259	0.5399817	0.3461457	0.5333298	0.0000000	0.0001418	0.2274819	0.4600724	0.0654839	0.0021757	0.6883468	0.5517233	0.5320295	0.0695033	0.6226931	0.7712099	0.3183196	0.3276405	0.4057787	0.1796068	0.0599666	0.6931777	0.0379948	0.0051922	0.0095013	0.5518149	0.0357809	0.0512148	0.2990424	0.0848608	0.6612186	0.7026770	0.3177522	0.6381932	0.2939955	0.0336197	0.6194089	0.5844020	0.0066380	0.0282077	0.5787625	0.4077373	0.5038024	0.3352306	0.0006233	0.0111344	0.4572822	0.6540306	0.0236646	0.6018371	0.5315155	0.0356798	0.1557914	0.6482711	0.6771832	0.2661567	0.4350047	0.6475245	0.7361595	0.2245151	0.6622671	0.1112899	0.0258822	0.0439711	0.3561213	0.6036321	0.1161732	0.4649492	0.1566822	0.3162554	0.6223046	0.2351504	0.5187283	0.1664522	0.0364050	0.0000000	0.2238226	0.1314849	0.5675329	0.1915729	0.1462988	0.2030290	0.0615054	0.6303385
