YCR065W	YLR228C	YGR288W	YDR026C	YDR049W	YGL209W	YMR280C	YGL035C	YJL089W	YPL248C	YLR377C	YDR009W	YBR019C	YBR020W	YBR035C	YDR277C	YBR050C	YHR043C	YHR062C	YER023W	YFL054C	YLL043W	YDR516C	YDL151C	YMR202W	YDL149W	YNL117W	YER065C	YBR101C	YLR042C	YHR092C	YJR095W	YLR044C	YHR094C	YEL069C	YOL126C	YKR075C	YKR097W	YMR011W	YBR126C	YIL162W	YDR345C	YMR087W	YMR086CA	YLL066C	YDR317W	YDL245C	YEL070W	YAR009C	YLL065W	YDR040C	YER190W	YNL339C	YCR018CA	YCR019W	YJL155C	YNL107W	YBR022W	YDL110C	YNL012W	YOR144C	MAL61	YGR173W	YDR070C	YDR499W	YIL089W	YEL056W	YLR457C	YNL108C	YML067C	YJL199C	YDR088C	YNL013C	YBR021W	YDR038C	YLR161W	YLR080W	YNR081W	YPL043W	YDL025C	MEL1	YOR076C	YJR010CA	YDR356W	YDR491C	YLR128W	YDL031W	YCL044C	YGR102C	YHR109W	YOL014W	YGR172C	YEL057C	YLR127C	YEL061C	YGR287C	YDR083W	YLR459W	YOR119C	YHL010C
0.6748647	0.6431633	0.5477838	0.0083961	0.6423042	0.0033523	0.3005192	0.0024344	0.2080624	0.4138524	0.6032515	0.1278741	0.0000000	0.6753148	0.0181231	0.5262267	0.1786016	0.7194509	0.2964452	0.6679576	0.0014591	0.6069540	0.6864332	0.4494290	0.0408643	0.0455317	0.5735804	0.1468731	0.6874878	0.6641439	0.1872820	0.1405893	0.0000080	0.2771055	0.3179051	0.4500629	0.0001406	0.6682014	0.0944516	0.4449769	0.3892554	0.6568944	0.3977351	0.2468841	0.5569665	0.0000000	0.2965676	0.4979759	0.3424700	0.4244361	0.6439644	0.1342837	0.3899711	0.3506676	0.1612703	0.0037936	0.0016185	0.3123747	0.6079432	0.7112009	0.7015573	0.0029373	0.4285573	0.2257289	0.0011305	0.0000000	0.6877209	0.6101291	0.4814116	0.4570631	0.2623341	0.1094604	0.2603949	0.7519600	0.3829754	0.6115300	0.2929083	0.3905851	0.0046049	0.6676830	0.0317131	0.6499492	0.0000667	0.0382842	0.4505128	0.1164767	0.2174387	0.6019754	0.6079832	0.2233067	0.7220275	0.6033391	0.4872331	0.5067600	0.6648033	0.0000000	0.7371412	0.0000041	0.5483295	0.6828593
0.6217794	0.5667898	0.6288276	0.0785910	0.6756929	0.0628346	0.5489495	0.4615198	0.2935201	0.0000884	0.1165002	0.5375041	0.5796873	0.6090152	0.3452106	0.3640521	0.0011353	0.5005317	0.6145237	0.5546915	0.5246752	0.2541054	0.1308364	0.0172152	0.3086489	0.5169629	0.3465295	0.6546490	0.0001225	0.4616411	0.2355228	0.0447508	0.0001632	0.6671009	0.2046895	0.1541945	0.2348847	0.5640089	0.5999763	0.2196563	0.5487044	0.3086210	0.5726199	0.5297105	0.2685911	0.5862364	0.4053598	0.3501731	0.4167680	0.3361793	0.3234003	0.0000000	0.0687814	0.0670105	0.6017159	0.1175147	0.0001949	0.1624901	0.6777500	0.5986799	0.7273563	0.3572269	0.0000583	0.1745718	0.3536036	0.0330345	0.0031178	0.6362940	0.4611047	0.2242680	0.1613470	0.0749849	0.2635121	0.0002809	0.3264102	0.5161367	0.0004669	0.6695523	0.0202158	0.6699237	0.6959245	0.7853865	0.3691208	0.1070543	0.0000363	0.0100607	0.3467980	0.7326335	0.3405143	0.2836751	0.5678241	0.0021560	0.4159766	0.2830978	0.6758152	0.0020895	0.4345128	0.1615039	0.1095009	0.6422391
0.6948626	0.7031233	0.7197388	0.0294618	0.5328423	0.0224456	0.3090764	0.0002893	0.2377817	0.4095743	0.5089870	0.0125192	0.2565840	0.0000000	0.6907173	0.7094539	0.3971472	0.5733160	0.7339776	0.7224004	0.6105745	0.3033507	0.0002554	0.5210242	0.6084132	0.5622517	0.5974016	0.0964999	0.6763885	0.4213586	0.6456419	0.0000000	0.7359383	0.6840656	0.7179783	0.1444290	0.0000210	0.0077719	0.2609506	0.0634264	0.5506493	0.6504839	0.4966118	0.1641842	0.3994813	0.8138372	0.6522756	0.0000455	0.0011763	0.3363890	0.7022103	0.3578871	0.1477167	0.4748122	0.6956787	0.1016308	0.0808752	0.1388451	0.4585670	0.6051065	0.6662167	0.0003054	0.1229288	0.2430774	0.0456049	0.2120894	0.6771234	0.6346655	0.7112820	0.6937585	0.3166607	0.2159413	0.0227232	0.2879434	0.6160310	0.7093874	0.2844074	0.4551660	0.4343563	0.6929578	0.1782176	0.7302197	0.1943268	0.2704431	0.4439001	0.0442731	0.2119051	0.6722526	0.3793869	0.2773393	0.6530033	0.5810697	0.5427612	0.3616381	0.7528017	0.0829261	0.5317336	0.0000299	0.5969421	0.6610415
0.5421142	0.5464726	0.6140367	0.1015106	0.5990145	0.0000000	0.0000000	0.6820721	0.0000000	0.0007939	0.0000000	0.6418976	0.6005021	0.5032694	0.1119799	0.5471151	0.0000000	0.1029913	0.6425944	0.2977139	0.5310812	0.3066217	0.0000000	0.0000235	0.0885646	0.6911612	0.4233855	0.0878583	0.6787093	0.5489229	0.1698651	0.5011763	0.0014463	0.7118879	0.4825080	0.0000000	0.0000000	0.3460469	0.3993690	0.1902273	0.2909008	0.3286906	0.0002664	0.6786919	0.1855861	0.6279439	0.6449030	0.2364182	0.0908991	0.2894684	0.0000000	0.4747178	0.0934820	0.6499882	0.6992796	0.1293474	0.0004575	0.7074551	0.3870359	0.5961658	0.6197936	0.6230644	0.0000887	0.0000000	0.0050032	0.1696591	0.0000004	0.7311618	0.5053237	0.5371256	0.1558588	0.6795549	0.4752546	0.3686058	0.3744501	0.6503462	0.7452180	0.3010044	0.0000000	0.7667251	0.4369956	0.5948901	0.0613401	0.4550090	0.3009656	0.7241477	0.3560180	0.4162200	0.3742731	0.3247915	0.5548086	0.0005455	0.5980250	0.3808641	0.6793459	0.0128654	0.5473211	0.4428896	0.6734302	0.7544453
0.1304737	0.0071086	0.4328986	0.6168658	0.6852127	0.7940628	0.3740039	0.3328783	0.2598196	0.4753962	0.6946554	0.0691145	0.2762633	0.6597975	0.5831449	0.6650519	0.5367917	0.2673252	0.4681802	0.0000000	0.2761185	0.0065525	0.7765918	0.6922680	0.5529055	0.2648451	0.5751845	0.0997699	0.0514262	0.0001238	0.3486664	0.0274991	0.3715632	0.0189843	0.0557572	0.1597305	0.5843123	0.6716184	0.5014182	0.6984410	0.5998129	0.0824871	0.5481576	0.2012859	0.4396273	0.0619178	0.2772338	0.4832001	0.0571707	0.1439121	0.0660845	0.1205440	0.0000000	0.6760751	0.2171464	0.6588482	0.0267434	0.0669278	0.3174001	0.0551152	0.6489871	0.5200988	0.1950540	0.0000000	0.3374402	0.0000000	0.6094558	0.0843576	0.0719847	0.0001492	0.6232537	0.6447647	0.4648400	0.4665561	0.6250663	0.5024705	0.2538665	0.4350350	0.6313584	0.2877434	0.0460959	0.4934460	0.6731468	0.7146218	0.6695994	0.0805794	0.1194317	0.1928101	0.1607795	0.6375772	0.2777998	0.6912315	0.1601301	0.4555431	0.6066331	0.0000000	0.2883774	0.3097401	0.6821816	0.6189419
0.7092580	0.6298940	0.5907656	0.0937284	0.6272720	0.0159773	0.0037578	0.7623487	0.0082083	0.0009221	0.1719215	0.7733650	0.7134021	0.6840400	0.0507011	0.0544905	0.0009170	0.7493071	0.6486416	0.4485238	0.0112476	0.1713250	0.0764635	0.0002514	0.5458686	0.6097828	0.3045276	0.7177809	0.0659316	0.6747851	0.0086388	0.5272388	0.5298663	0.6769926	0.3216314	0.0003242	0.0320788	0.0905688	0.5578673	0.0003143	0.2601570	0.2831123	0.1575271	0.7719773	0.2605971	0.5523499	0.5257312	0.5300531	0.0852891	0.7069740	0.0000950	0.6493582	0.0405124	0.7449922	0.5973100	0.0692155	0.0001461	0.5949027	0.4490809	0.6582810	0.6535388	0.6157469	0.0003327	0.1440454	0.0116304	0.2657967	0.0004717	0.8311403	0.4549101	0.4111265	0.0000000	0.3470020	0.0000000	0.8356311	0.3172434	0.6138993	0.0440222	0.2661556	0.4536839	0.6492241	0.3075628	0.6722516	0.1910808	0.2559585	0.0000000	0.1995000	0.2239584	0.5708308	0.7497678	0.2013281	0.6109403	0.0025748	0.3834492	0.6600271	0.6556621	0.0648316	0.6161852	0.3631627	0.0000267	0.7204065
0.3946419	0.3586257	0.7106388	0.1464979	0.7016049	0.2142712	0.1613049	0.1609077	0.1299482	0.0249608	0.7241355	0.4281387	0.6242475	0.6879702	0.2882201	0.0001234	0.4823033	0.7190738	0.5529074	0.5858319	0.4827007	0.0725705	0.6537313	0.6255795	0.1022798	0.1250861	0.3880788	0.1063027	0.0385445	0.0000000	0.5585941	0.4715017	0.5810700	0.1047575	0.2941106	0.1009759	0.0193622	0.6907468	0.6303950	0.0975703	0.3472323	0.2203398	0.4142169	0.6253977	0.1783704	0.0003350	0.7469746	0.0690007	0.0024550	0.3374409	0.2863472	0.6570160	0.1183171	0.6556144	0.5606936	0.1137120	0.0009362	0.5567870	0.4169088	0.4213373	0.6457169	0.0723770	0.3051881	0.4340448	0.2766253	0.4161374	0.0001323	0.2596522	0.2224035	0.1454010	0.1319825	0.5906370	0.1531195	0.0038616	0.3101080	0.6166398	0.5859975	0.5985627	0.6333080	0.5837213	0.1752651	0.7065103	0.5424532	0.4640177	0.0720415	0.3501216	0.1020303	0.5398215	0.7566872	0.3047957	0.3593773	0.0001739	0.7264872	0.0000000	0.6236548	0.0932736	0.5700326	0.5034587	0.0020240	0.6410821
0.6441649	0.4686132	0.7955673	0.0000000	0.1961337	0.0259708	0.0013874	0.0005861	0.3470688	0.0000393	0.4321194	0.6475579	0.6677251	0.5403475	0.2954984	0.6017278	0.0021046	0.3293100	0.2900811	0.6138932	0.3661893	0.7622049	0.1738096	0.0000004	0.1505871	0.0000574	0.6174306	0.4466880	0.2176429	0.7045288	0.0000000	0.5335084	0.0001078	0.4353599	0.6272438	0.3065847	0.0000005	0.3329794	0.3710676	0.0797705	0.0063356	0.0123432	0.1099550	0.1255483	0.1858098	0.1257568	0.2976953	0.0003177	0.2435399	0.6430720	0.0072725	0.4664072	0.1007760	0.0000000	0.7625395	0.0138911	0.0000981	0.8038442	0.6421806	0.5392720	0.6254108	0.2095470	0.0000001	0.2148417	0.0000000	0.2940977	0.2441238	0.0973078	0.3938524	0.2915545	0.2423430	0.3652917	0.1550711	0.0000163	0.5978969	0.7134287	0.0000795	0.1853264	0.0074313	0.6661776	0.7014539	0.6843296	0.5297912	0.0000000	0.7171722	0.0024195	0.3264906	0.5521121	0.2754359	0.2586342	0.7863846	0.0036548	0.6362057	0.2076136	0.6617393	0.0017183	0.4945115	0.2594989	0.0025670	0.6533365
0.7326739	0.7373878	0.7506354	0.0124974	0.2023687	0.0298945	0.0005481	0.6109754	0.0079821	0.2288263	0.3555162	0.4510775	0.3475472	0.5886427	0.0004659	0.6561011	0.2256921	0.1276217	0.7478527	0.5537795	0.0724444	0.0013818	0.0000040	0.6804495	0.4281544	0.7591819	0.8016425	0.6487280	0.0268039	0.2964674	0.2366640	0.7525431	0.3923457	0.0022658	0.2774246	0.1597084	0.4655307	0.6311170	0.6448454	0.0000481	0.2702740	0.0000000	0.4520995	0.0291943	0.2835395	0.5817107	0.4259831	0.1831524	0.0076567	0.6279038	0.2817240	0.5402440	0.3577149	0.3441852	0.3899630	0.1107174	0.0000024	0.1849635	0.5387187	0.6688026	0.7121617	0.5434199	0.4994484	0.0667190	0.0291607	0.2297677	0.6608683	0.7211048	0.5951521	0.4126601	0.2477605	0.1403554	0.2288916	0.2239577	0.3271223	0.6809804	0.4743202	0.6909269	0.0610506	0.5728994	0.2016391	0.6313515	0.0077566	0.3744894	0.3170491	0.6528303	0.1510079	0.6998296	0.3827054	0.1385278	0.5651174	0.6119249	0.6060267	0.7586824	0.7341516	0.0651546	0.5041552	0.2585927	0.6269558	0.6233349
0.7245950	0.5002745	0.6189500	0.0355689	0.5986904	0.0198726	0.3169453	0.2438319	0.4312907	0.2878580	0.5904081	0.3637301	0.3670233	0.0000000	0.5263752	0.6601648	0.3208072	0.5734134	0.5804443	0.6596678	0.1362255	0.0114804	0.6868799	0.6981357	0.6170089	0.6361439	0.0000000	0.1695936	0.0001998	0.5053796	0.0000000	0.0261854	0.1095140	0.1721916	0.4487882	0.4320963	0.0029405	0.1047740	0.6185479	0.1413668	0.1741889	0.4346076	0.2021890	0.3382914	0.3230639	0.5678458	0.4949305	0.0406892	0.2286187	0.3351738	0.0236828	0.5135678	0.3547271	0.0224598	0.0643000	0.0428208	0.0381006	0.2904275	0.4197605	0.6277949	0.6228612	0.4592526	0.0287839	0.2499838	0.0014735	0.0888952	0.7573974	0.6318626	0.5628589	0.5813255	0.2084355	0.2825597	0.0000000	0.2316373	0.4209039	0.6766432	0.6277470	0.5875648	0.6686687	0.6173548	0.2775609	0.6203990	0.0289517	0.2108996	0.3426381	0.0001762	0.2759567	0.5660544	0.4175396	0.0000000	0.5348903	0.6147786	0.1650336	0.1279894	0.7170702	0.0000000	0.5994355	0.0027168	0.7429506	0.7746885
0.6678846	0.6412203	0.7184702	0.0290121	0.7172291	0.0435829	0.0021944	0.0059925	0.3189220	0.0004242	0.4277940	0.5606686	0.6054289	0.6951711	0.1365623	0.5427093	0.0484287	0.2032543	0.6820410	0.5851519	0.0500161	0.0000000	0.3149374	0.0019919	0.4935408	0.6921062	0.4131215	0.2387942	0.2589457	0.2227468	0.6470972	0.0499208	0.0003565	0.0000000	0.2859562	0.0008799	0.3359129	0.2822921	0.4492020	0.7150731	0.1553993	0.5636534	0.4474927	0.0000000	0.2069485	0.6216592	0.4815759	0.6560167	0.1995419	0.2831435	0.6071875	0.5635054	0.0434887	0.0530307	0.1142128	0.0629000	0.0437418	0.2380965	0.4496094	0.4918001	0.5805061	0.0008790	0.0007823	0.2175123	0.6497890	0.2415324	0.6689776	0.6543091	0.6796977	0.7363111	0.2437086	0.2695507	0.3058094	0.0004230	0.3366211	0.6538393	0.3192648	0.0006982	0.0104991	0.5905084	0.7986350	0.6947878	0.4517313	0.3794708	0.0001950	0.0184166	0.0058759	0.5534690	0.7205598	0.2217879	0.6751307	0.6715596	0.2685196	0.3857500	0.6893163	0.0753613	0.6102262	0.4379764	0.0000156	0.7603811
