YMR043W	YAL051W	YLR131C	YOR140W	YGR044C	YCR018C	YDR146C	YKL185W	YCR097W	YCL066W	YJL194W	YFR017C	YJL160C	YKL163W	YJL159W	YKL178C	YER078WA	YER079W	YOR138C	YER078C	YMR165C	YKR040C	YKR042W	YLR079W	YNL327W	YJL077WB	YDL179W	YNL328C	YGL201C	YMR262W	YML125C	STA3	YJL080C	YGR086C	YIL069C	YGL028C	YKL164C	YIL158W	YMR261C	YJL078C	STA2	STA1	YNL160W	YPL187W	YBR070C	YIL122W	YBR071W	YJL200C	YGL227W	YNL079C	YNL078W	YJL198W	YKR097W	YBR157C	YGL008C	YLR105C	YGL089C	YLR286C	YGR041W	YNL146CA	YNL289W	YGR189C	YDL127W	YJL196C	YLR438CA	YBR158W	YFL022C	YPL025C	YPL024W	YOR236W	YDR452W	YNL145W	YER188CA	YNL241C	YIL099W	YJR044C	YLR439W	YER190W	YLR066W	YNL335W	YIL009W	YJL207C	YKL079W	YER127W	YGL226CA	YER074WA	YNR062C	YPL262W	YPR113W	YGL140C	YDR112W	YDR389W	YNR063W	YDR397C	YGL139W	YNL097CA	YNL238W	YPL050C	YLR194C	YPL044C
0.0003846	0.1580104	0.2952774	0.0043595	0.5375951	0.0021673	0.6840059	0.4880471	0.1734038	0.3283235	0.4065157	0.4668633	0.7545184	0.7674770	0.7646803	0.0000134	0.4444991	0.4590559	0.0000000	0.3988334	0.2759122	0.8042340	0.0292508	0.1888171	0.1620315	0.3661567	0.3828704	0.0000000	0.3590296	0.5653792	0.0418148	0.1674525	0.7346446	0.4378521	0.2635212	0.4597445	0.2444984	0.0171512	0.2402469	0.5504172	0.5491831	0.3810274	0.0394922	0.0146709	0.3482052	0.1456579	0.5606165	0.7448113	0.3599301	0.5637865	0.1596315	0.6428415	0.0000000	0.6585874	0.2399552	0.7775213	0.6770175	0.2471623	0.4599489	0.3276864	0.6271812	0.2604797	0.6460664	0.0021202	0.7505693	0.0584960	0.3343992	0.0488053	0.0122137	0.0000000	0.5491059	0.6405414	0.2503371	0.0367650	0.0031562	0.1022583	0.0564060	0.1361707	0.6538663	0.1237932	0.3408468	0.1968850	0.5115226	0.3010784	0.7725521	0.7140980	0.3128166	0.2937712	0.6910913	0.0449756	0.6915992	0.0279306	0.4832015	0.5940270	0.7633838	0.0810114	0.2129780	0.5274049	0.0894984	0.1263929
0.0356124	0.0000000	0.1410160	0.0276349	0.3807653	0.0710375	0.5279335	0.4332220	0.6063246	0.4192846	0.5572242	0.3023808	0.3252453	0.6294683	0.8079256	0.3626345	0.6728963	0.4869058	0.2601625	0.3938598	0.1177322	0.2385199	0.6227960	0.3023065	0.0439479	0.2311749	0.3240489	0.0000000	0.7145705	0.3043883	0.2733356	0.5282466	0.5659833	0.4452731	0.1585218	0.1224195	0.2900761	0.2406764	0.2064873	0.2640058	0.6230882	0.3060735	0.0686452	0.1469760	0.3379228	0.1111074	0.4570762	0.6295493	0.7482711	0.7220975	0.2626061	0.5945882	0.1419731	0.3772230	0.5513072	0.4520146	0.5498297	0.8073153	0.4812038	0.6195698	0.4959472	0.3288640	0.7714096	0.0216578	0.6507021	0.0171444	0.2238986	0.0846584	0.0413009	0.0705877	0.5794435	0.3366368	0.2498848	0.4837676	0.0000000	0.4419894	0.0608531	0.7077594	0.7702542	0.5808719	0.5522010	0.2023093	0.5116451	0.4348743	0.3757186	0.4984801	0.4797618	0.8244470	0.0002541	0.1462071	0.3303217	0.7595786	0.7215103	0.3504443	0.5768988	0.3214596	0.1908170	0.4941723	0.3576060	0.7322841
0.6571594	0.0000000	0.7496122	0.6502389	0.0149895	0.6981848	0.0484404	0.4479421	0.6556618	0.4883139	0.6199779	0.1246375	0.8562189	0.3770570	0.6370295	0.2837855	0.2701968	0.5257196	0.3743503	0.3603322	0.6391223	0.3966842	0.2767734	0.0001481	0.0000000	0.0414123	0.0027210	0.0000000	0.4686690	0.0234141	0.6438648	0.5032139	0.6053012	0.5788800	0.4764971	0.0003891	0.0400680	0.3313670	0.6748168	0.3292372	0.5663713	0.2163419	0.6204039	0.6067316	0.3872679	0.5920833	0.2481538	0.2354516	0.7640058	0.5938017	0.3330719	0.4226612	0.0617598	0.2167871	0.1138139	0.0108560	0.2218825	0.6851744	0.0000000	0.6841214	0.1904022	0.0007951	0.6174079	0.5875674	0.7212808	0.6346277	0.0251130	0.5025489	0.0468754	0.0000000	0.4173227	0.8247272	0.6356244	0.2195768	0.0002078	0.7485584	0.5635007	0.0156411	0.4796126	0.5744255	0.1352013	0.7018946	0.5824215	0.0760767	0.0270093	0.0000000	0.0203413	0.6835802	0.6472874	0.7857932	0.0093863	0.0000000	0.0131464	0.0046034	0.0010206	0.4093472	0.7715383	0.0474265	0.6477485	0.5723787
0.0000000	0.2353151	0.2221305	0.1052578	0.1544126	0.1719388	0.7130667	0.0628784	0.6495182	0.4870243	0.0000000	0.0000000	0.6260618	0.4219303	0.6957339	0.0000000	0.2816459	0.1279314	0.2377830	0.3594215	0.0325198	0.2386641	0.0003030	0.0914297	0.0438502	0.7245992	0.4674606	0.8405657	0.3768886	0.1134385	0.2921201	0.2948650	0.6675610	0.3092230	0.2880550	0.2744259	0.0625690	0.0000000	0.2575525	0.2575838	0.6369197	0.7619127	0.0801243	0.5347794	0.0391973	0.6895496	0.3820518	0.2862717	0.6362413	0.2041163	0.5071827	0.6733958	0.1462644	0.3376379	0.6523196	0.7225016	0.0000000	0.6138316	0.2067459	0.3534770	0.0000877	0.3591694	0.6630412	0.6295133	0.5457534	0.0853615	0.5565659	0.1127641	0.4835171	0.0890211	0.0020301	0.2855315	0.2133351	0.3738652	0.3248767	0.4669340	0.0455761	0.6780854	0.3832726	0.2040667	0.6351492	0.0266282	0.5399081	0.5602569	0.4824336	0.7872530	0.2801955	0.1423298	0.6440581	0.0178568	0.4004907	0.2126563	0.5295241	0.5391534	0.7290809	0.3189621	0.3008378	0.5650079	0.1028457	0.5807620
0.6507915	0.0000000	0.3632434	0.6874412	0.0000967	0.1523783	0.0019517	0.6936179	0.5991700	0.4723235	0.6612430	0.4584387	0.0048780	0.4125690	0.6288019	0.6740817	0.7069281	0.1010412	0.5442997	0.0675980	0.0000003	0.6225056	0.6253959	0.0000071	0.0000000	0.4310340	0.0101870	0.5844503	0.4030853	0.2438374	0.0003027	0.6045878	0.6372168	0.5566504	0.2633207	0.5545114	0.4008386	0.2953683	0.6803250	0.5514802	0.6216156	0.4416578	0.0000000	0.5015639	0.0012048	0.6103115	0.2539208	0.0001833	0.0947888	0.1979373	0.6613687	0.5901599	0.0782239	0.0887211	0.2148650	0.0000414	0.4085627	0.6200319	0.5932688	0.6151950	0.4626965	0.0001137	0.7085131	0.6561250	0.4692160	0.3774386	0.0001248	0.4489002	0.0000000	0.5117057	0.7592232	0.5579269	0.5634172	0.6858861	0.0391428	0.6508649	0.3535989	0.0952798	0.1025506	0.0000000	0.0003868	0.7314193	0.4294396	0.2593816	0.3520963	0.1675527	0.1541836	0.7608473	0.6151186	0.4906095	0.2548999	0.3013341	0.0040005	0.0001865	0.1708941	0.5991315	0.6696318	0.6494827	0.0287245	0.5944889
0.0719698	0.3705594	0.0599136	0.4506962	0.0032259	0.3388024	0.5272280	0.4505842	0.8024057	0.4918191	0.1054938	0.0040454	0.5923886	0.5712520	0.3733067	0.0804143	0.0000000	0.0766193	0.1773088	0.3617236	0.3453915	0.6089291	0.0868365	0.2154899	0.0055298	0.7649192	0.4854861	0.6963704	0.6511309	0.5977010	0.1430342	0.5699795	0.2644397	0.6093257	0.3723863	0.0267288	0.0480741	0.4114468	0.2936023	0.2209524	0.6697720	0.2018808	0.0207833	0.1802769	0.0520941	0.4930487	0.6554836	0.6052002	0.0004409	0.0012719	0.0100931	0.6037907	0.5431809	0.6787962	0.5177413	0.7062236	0.4293152	0.0201056	0.6924780	0.3807500	0.3840102	0.4465996	0.5633847	0.0093048	0.6219918	0.1032095	0.3810916	0.4533439	0.0000000	0.6991763	0.5258283	0.2796826	0.0703055	0.3150222	0.0660568	0.1620614	0.6072684	0.6202221	0.0005210	0.5996850	0.4006138	0.1775524	0.3880079	0.0000000	0.4580952	0.7095242	0.2156431	0.0173081	0.3596878	0.1399782	0.3693082	0.5068948	0.3855525	0.5388610	0.4329970	0.0052752	0.2868312	0.6538647	0.3853965	0.5476058
0.6133115	0.0000000	0.2936202	0.6956468	0.0008047	0.7222624	0.0056454	0.5209301	0.6677658	0.5520375	0.6045955	0.0000000	0.8652512	0.6186475	0.4507338	0.6633230	0.6887555	0.6874330	0.4336161	0.0638889	0.6776448	0.4549934	0.7201775	0.6867748	0.6690566	0.0000000	0.0257463	0.7105551	0.3826412	0.3814105	0.1812221	0.4967370	0.0837219	0.3582281	0.0170765	0.0000249	0.4065032	0.3129646	0.3890236	0.5001784	0.6043643	0.6245873	0.6031426	0.7028939	0.5555873	0.7284536	0.3142015	0.0015457	0.2322165	0.1386257	0.7954534	0.7659272	0.0176633	0.0404316	0.5023097	0.5809996	0.1611658	0.7818633	0.0000000	0.5102056	0.1605762	0.2343324	0.5139862	0.1737950	0.6068327	0.2855623	0.0226444	0.5311295	0.0193896	0.5821944	0.0226977	0.3336490	0.4249077	0.4352049	0.0007663	0.7647435	0.3219441	0.1806593	0.0000419	0.5706788	0.6570679	0.6056273	0.4001571	0.0313371	0.3026891	0.2274860	0.0054469	0.1003463	0.3419285	0.5972205	0.0005869	0.2004721	0.0419568	0.6477057	0.0003290	0.1391556	0.5523953	0.0156797	0.1231232	0.6142249
0.0324770	0.1432511	0.0323970	0.6346619	0.1680461	0.3479439	0.5301529	0.1915963	0.3318967	0.1849841	0.0002096	0.0409455	0.6943522	0.7161791	0.6766555	0.5918869	0.4149167	0.6675756	0.2790907	0.5874206	0.6561336	0.4701649	0.3062183	0.5729161	0.0192977	0.6207235	0.0000000	0.6371728	0.3715700	0.3825152	0.6088246	0.7383431	0.2326241	0.2931950	0.6215063	0.5662633	0.2694312	0.1060839	0.0189834	0.3061337	0.4779217	0.5651827	0.0001381	0.5063654	0.1144439	0.0473269	0.6325329	0.4649567	0.6804534	0.6308783	0.0170385	0.7286940	0.0000000	0.3384459	0.6377024	0.4552583	0.6347546	0.7539953	0.6071898	0.3119794	0.1674672	0.0159967	0.5015807	0.3714164	0.6627140	0.0721414	0.4777950	0.5621795	0.4353330	0.2344375	0.4129095	0.5297750	0.6765001	0.0246418	0.0000000	0.0626742	0.1792284	0.7367846	0.5717033	0.3186785	0.2851234	0.0234968	0.8148117	0.6273503	0.5693258	0.6210464	0.5678067	0.5902626	0.5599392	0.1809911	0.3343334	0.0000000	0.0238202	0.3293863	0.7670238	0.3808629	0.3096719	0.5345897	0.3049854	0.2790853
0.1006917	0.1858617	0.0731375	0.2522016	0.4445792	0.1057961	0.4603880	0.0435400	0.7554239	0.3787200	0.2124952	0.0853671	0.2630951	0.1992860	0.4326686	0.0011195	0.1134783	0.2250972	0.0747811	0.2271079	0.0783079	0.4613217	0.0016756	0.1670936	0.0086061	0.6585019	0.3490410	0.5272875	0.6794042	0.7246929	0.2160696	0.5167998	0.4761114	0.0066622	0.3408001	0.0478373	0.3663104	0.0145766	0.2437266	0.5542098	0.7022488	0.0019513	0.0068799	0.6322000	0.0349153	0.3214183	0.2801675	0.6256683	0.0005345	0.0011834	0.1393599	0.6559684	0.7476580	0.1977489	0.6563310	0.7915467	0.1341496	0.0000000	0.6030531	0.4815884	0.1626607	0.6216736	0.5180869	0.6452092	0.6624647	0.0378159	0.2442541	0.4152492	0.5228563	0.0691207	0.0023621	0.6291256	0.1458371	0.0045578	0.0000000	0.4563701	0.1996467	0.6172146	0.5804339	0.7235165	0.3723798	0.2253767	0.2551759	0.6383249	0.4067877	0.6499618	0.2478552	0.2618040	0.1010947	0.1461929	0.2169162	0.5776671	0.6733923	0.6228926	0.3088833	0.0269989	0.4745373	0.4688733	0.3191917	0.5231711
0.6655049	0.0000000	0.5110785	0.0000000	0.7772676	0.6596334	0.0109453	0.3122252	0.1738324	0.4174652	0.1002824	0.1838409	0.6314673	0.6285840	0.8067659	0.3889483	0.3837311	0.6368485	0.2778847	0.1570021	0.0272704	0.2818132	0.1267207	0.0000699	0.8037615	0.0000000	0.0044533	0.6146673	0.6908284	0.3106550	0.4470912	0.0801067	0.0376091	0.7083233	0.0209377	0.3204313	0.4391995	0.1539912	0.7630468	0.3163061	0.6594139	0.0063567	0.7429984	0.4511731	0.0000000	0.0000000	0.1957951	0.0027755	0.4652260	0.4429461	0.6192069	0.0856762	0.0000000	0.2119343	0.7273774	0.6272298	0.4623628	0.6132864	0.7126854	0.6139610	0.0083324	0.0002980	0.0303216	0.2326680	0.4485695	0.4143593	0.4608903	0.0804227	0.0457639	0.6143401	0.0080877	0.6001660	0.6123832	0.2909564	0.0032495	0.5833906	0.4774607	0.0979950	0.7035106	0.3259551	0.5761710	0.6154536	0.0400227	0.1679671	0.0000520	0.1232050	0.1677985	0.7012953	0.4529437	0.6790847	0.2256379	0.0689565	0.0317919	0.0001205	0.5295855	0.3369494	0.6020386	0.0010375	0.6773734	0.7761225
0.0717291	0.4147762	0.0981675	0.8291447	0.1868477	0.6465516	0.1744976	0.4466140	0.6787163	0.5307125	0.4042771	0.0234116	0.6763586	0.3789924	0.2848589	0.0010782	0.6695611	0.5547501	0.5486913	0.4597513	0.0033793	0.7237384	0.6854624	0.1244961	0.0548589	0.2613005	0.6503076	0.4625431	0.4449279	0.6903477	0.4389108	0.5969225	0.1399761	0.6293398	0.4827233	0.0510571	0.4124558	0.0335412	0.6210736	0.0304496	0.6397603	0.1675730	0.0919526	0.8898847	0.0997314	0.0000000	0.4220600	0.3701374	0.0005763	0.0038275	0.5996346	0.4829532	0.7080365	0.0500121	0.2987171	0.4157810	0.1003867	0.3849316	0.7273688	0.4853325	0.1025018	0.0456088	0.7403914	0.0026479	0.6178279	0.4673683	0.6587389	0.5550617	0.3001184	0.4223098	0.6606568	0.0951534	0.0493472	0.0022477	0.0019563	0.3069356	0.1764789	0.2257616	0.2812717	0.7246899	0.1143969	0.6065561	0.2507571	0.7465628	0.1950198	0.5882203	0.0280084	0.0334973	0.6085005	0.5091116	0.0234788	0.6489154	0.8037459	0.6214839	0.3187175	0.0067890	0.6857510	0.2703670	0.5520120	0.6904189
